year,month,product_code,product_name,quantity_tons,import_value,customs_amount
2019,5,,դիզ. վառելիք,9626.899,3692.3414,31.070257
2019,6,1001,թռչնի միս,3321.8103,1650.8652,430.144003
2019,6,1006,կարագ,348.4735,801.5603,265.845212
2019,6,1101,բանան,1768.926,596.1608,147.820834
2019,6,1512,նարինջ,118.8,31.6088,8.218276
2019,6,1701,ցորեն,5017.315,455.9769,3.53428
2019,6,207,բրինձ,513.5676,177.1978,36.545611
2019,6,405,ալյուր,1722.5453,239.2386,0.604056
2019,6,803,հնդկաձավար,549.6239,82.0753,0.0
2019,6,805,ձեթ,2227.5451,872.3638,2.925515
2019,6,1104,մարգարին,1383.0849,655.5219,30.930865
2019,6,1517,"շաքարավազ, հումք",27718.568,4634.2686,914.164045
2019,6,1901,մանկական սնունդ,45.2467,182.0534,23.720589
2019,6,3004,դեղորայք,144.0854,4702.711,647.49708
2019,6,2710,բենզին,14292.928,5066.1181,0.0
2019,6,,դիզ. վառելիք,8495.482,3056.6028,148.797193
2019,7,1001,թռչնի միս,2994.3717,1791.4963,503.563541
2019,7,1006,կարագ,295.7054,757.2698,263.182553
2019,7,1101,բանան,1220.5676,400.1496,99.237113
2019,7,1512,նարինջ,0.0,0.0,0.0
2019,7,1701,ցորեն,26295.35,2311.1558,64.848045
2019,7,207,բրինձ,325.5204,99.1977,19.586624
2019,7,405,ալյուր,1623.4787,203.2459,0.140306
2019,7,803,հնդկաձավար,451.85609999999997,76.5904,0.0
2019,7,805,ձեթ,2077.5454,817.8077,9.312842
2019,7,1104,մարգարին,1636.2651,858.1245,26.812841
2019,7,1517,"շաքարավազ, հումք",9198.7844,1552.0916,298.899763
2019,7,1901,մանկական սնունդ,40.5939,184.5317,26.820116
2019,7,3004,դեղորայք,140.5056,4194.279,823.4689
2019,7,2710,բենզին,18478.892,6542.7283,42.170442
2019,7,,դիզ. վառելիք,15069.221,5349.2991,74.056693
2019,8,1001,թռչնի միս,2158.9542,1271.5246,333.727248
2019,8,1006,կարագ,334.0332,843.4048,215.892079
2019,8,1101,բանան,1308.8587,409.1985,101.481231
2019,8,1512,նարինջ,11.63,3.6056,0.560715
2019,8,1701,ցորեն,39003.635,3550.4571,181.65706
2019,8,207,բրինձ,392.2037,105.5101,20.44099
2019,8,405,ալյուր,1700.0246,217.1744,2.50078
2019,8,803,հնդկաձավար,257.6512,38.4578,0.0
2019,8,805,ձեթ,1928.2836,762.2303,9.441301
2019,8,1104,մարգարին,1049.0527,532.2169,45.629626
2019,8,1517,"շաքարավազ, հումք",1006.9279,192.1539,0.580932
2019,8,1901,մանկական սնունդ,57.4149,183.7382,11.077859
2019,8,3004,դեղորայք,109.8814,3151.7902,599.656789
2019,8,2710,բենզին,8158.294,2804.7568,0.0
2019,8,,դիզ. վառելիք,7309.179,2536.8653,321.435028
2019,9,1001,թռչնի միս,2328.7439,1327.1239,406.792192
2019,9,1006,կարագ,229.2217,512.1826,114.277716
2019,9,1101,բանան,1276.2016,411.7252,102.076298
2019,9,1512,նարինջ,11.4,3.6417,0.946854
2019,9,1701,ցորեն,41210.95,3976.5067,323.978493
2019,9,207,բրինձ,671.8624,199.8713,38.621898
2019,9,405,ալյուր,1327.0857,168.529,0.223108
2019,9,803,հնդկաձավար,375.2203,52.200599999999994,
2019,9,805,ձեթ,1606.0866,634.6741,5.467981
2019,9,1104,մարգարին,1386.1623,715.9625,52.464733
2019,9,1517,"շաքարավազ, հումք",995.8114,188.4982,3.557971
2019,9,1901,մանկական սնունդ,52.4942,239.9862,38.942404
2019,9,3004,դեղորայք,148.5183,31252.7376,547.892951
2019,9,2710,բենզին,15183.061,4862.5702,148.9188
2019,9,,դիզ. վառելիք,16895.971,5792.2155,387.582867
2019,10,1001,թռչնի միս,2943.373,1698.8482,424.30732
2019,10,1006,կարագ,301.6596,764.9255,224.703438
2019,10,1101,բանան,1870.029,629.9292,156.222428
2019,10,1512,նարինջ,370.188,107.704,27.903472
2019,10,1701,ցորեն,27792.57,2609.9736,5.401207
2019,10,207,բրինձ,383.1598,110.2202,16.31547
2019,10,405,ալյուր,1887.8086,253.6575,1.361241
2019,10,803,հնդկաձավար,833.3548000000001,167.5538,0.0
2019,10,805,ձեթ,3135.5233,1278.6386,11.245543
2019,10,1104,մարգարին,2409.0069,1596.9383,156.276512
2019,10,1517,"շաքարավազ, հումք",1504.0318,276.7392,4.572106
2019,10,1901,մանկական սնունդ,37.0732,126.5337,3.833022
2019,10,3004,դեղորայք,181.211,5876.2405,885.849986
2019,10,2710,բենզին,14340.321,4845.6785,0.0
2019,10,,դիզ. վառելիք,10557.363,3779.8329,426.475406
2019,11,1001,թռչնի միս,4332.8671,2298.8473,776.503361
2019,11,1006,կարագ,248.4362,591.6551,199.535062
2019,11,1101,բանան,1969.7884,650.6445,161.258203
2019,11,1512,նարինջ,1100.29,284.6194,73.647097
2019,11,1701,ցորեն,19148.859,1805.5277,48.137806
2019,11,207,բրինձ,1663.6924,532.0088,109.855272
2019,11,405,ալյուր,2474.7511,284.8196,2.786757
2019,11,803,հնդկաձավար,1537.6916999999999,190.5741,
2019,11,805,ձեթ,3164.4732,1327.6803,6.313757
2019,11,1104,մարգարին,2425.9012,1367.4479,159.184136
2019,11,1517,"շաքարավազ, հումք",2416.6137,415.3189,12.199084
2019,11,1901,մանկական սնունդ,51.4729,176.1959,21.845874
2019,11,3004,դեղորայք,166.8331,4231.8261,655.779874
2019,11,2710,բենզին,16533.214,5565.2796,99.321039
2019,11,,դիզ. վառելիք,15855.356,5630.8105,254.384738
2019,12,1001,թռչնի միս,8500.6287,3906.8945,1301.63951
2019,12,1006,կարագ,630.5248,1527.6494,480.928712
2019,12,1101,բանան,2615.0689,887.8977,219.900291
2019,12,1512,նարինջ,3503.733,867.6155,217.842846
2019,12,1701,ցորեն,19837.107,1881.9845,0.0
2019,12,207,բրինձ,1353.3992,332.2464,70.431871
2019,12,405,ալյուր,2467.4049,338.2686,0.234041
2019,12,803,հնդկաձավար,396.9013,77.6528,0.0
2019,12,805,ձեթ,2784.1439,1116.2387,6.464785
2019,12,1104,մարգարին,2773.1841,1506.2111,166.707637
2019,12,1517,"շաքարավազ, հումք",5410.6363,927.4667,6.870915
2019,12,1901,մանկական սնունդ,56.3619,247.8589,38.479484
2019,12,3004,դեղորայք,259.7471,7212.9274,1467.044854
2019,12,2710,բենզին,23877.886,8284.1946,142.814674
2019,12,,դիզ. վառելիք,15251.969,5220.7906,699.367776
2020,1,1001,թռչնի միս,3423.1622,1543.7343,385.053615
2020,1,1006,կարագ,167.5465,396.9736,139.095947
2020,1,1101,բանան,1369.0696,479.0717,98.796354
2020,1,1512,նարինջ,1116.592,266.6346,62.932421
2020,1,1701,ցորեն,15856.47,1582.8261,17.635337
2020,1,207,բրինձ,492.1987,145.2813,33.043973
2020,1,405,ալյուր,726.0414,97.4764,0.332624
2020,1,803,հնդկաձավար,158.982,32.0133,0.03275
2020,1,805,ձեթ,1139.9844,464.3032,9.108534
2020,1,1104,մարգարին,796.8422,484.7782,52.699746
2020,1,1517,"շաքարավազ, հումք",850.7379,116.3434,6.738782
2020,1,1901,մանկական սնունդ,40.7213,161.6866,22.002286
2020,1,3004,դեղորայք,51.1616,1672.1319,360.547123
2020,1,2710,բենզին,9553.309,3475.9963,0.0
2020,1,,դիզ. վառելիք,8183.669,2982.8583,422.811894
2020,2,1001,թռչնի միս,3029.4638,1382.3462,329.622379
2020,2,1006,կարագ,186.4734,457.5792,139.240646
2020,2,1101,բանան,1687.468,585.9799,145.288213
2020,2,1512,նարինջ,2899.809,715.5832,162.272041
2020,2,1701,ցորեն,5169.18,505.9418,0.0
2020,2,207,բրինձ,1012.8374,295.8554,77.093892
2020,2,405,ալյուր,938.7613,117.8475,0.01272
2020,2,803,հնդկաձավար,160.0908,39.342299999999994,0.0
2020,2,805,ձեթ,1264.808,519.4954,2.764566
2020,2,1104,մարգարին,927.6087,444.7774,16.816963
2020,2,1517,"շաքարավազ, հումք",1081.3697,167.4492,0.106536
2020,2,1901,մանկական սնունդ,38.5609,155.3536,28.564398
2020,2,3004,դեղորայք,123.8478,3593.9775,586.985433
2020,2,2710,բենզին,11757.408,3861.7305,0.0
2020,2,,դիզ. վառելիք,11129.315,3806.3679,296.394597
2020,3,1001,թռչնի միս,5228.3418,2496.2892,569.251554
2020,3,1006,կարագ,490.9361,1179.6937,352.228528
2020,3,1101,բանան,2227.9654,798.3627,197.823527
