period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,1211,"Բույսեր եւ դրանց մասեր` օծանելիքի, դեղագործական, միջատասպան նպատակներով",տոննա,217.6,522.9,873.5,1396.9
2020-2021,2020,2021,1212,"Եղջերապտուղ, ծովային եւ այլ  ջրիմուռ, շաքարի ճակնդեղ,  շաքարեղեգ; պտղի կորիզ եւ դրա միջուկը",տոննա,6.8,33.7,42.0,36.3
2020-2021,2020,2021,1214,"Շաղգամ, տերեւային ճակնդեղ, խոտ, առվույտ, կորնգան եւ նման կերամիջոց",կգ,4.0,5.9,63950.0,12.8
2020-2021,2020,2021,1301,"Դոճխեժ; բնական ձյութեր, սոսնձախեժ եւ բեւեկնախեժ",կգ,144.7,1.6,110.0,0.6
2020-2021,2020,2021,1302,Բուսական հյութ եւ խտահյութ; պեկտինային նյութեր; ագար-ագար,կգ,14000.0,16.3,147.5,8.4
2020-2021,2020,2021,1401,"Նյութեր բուսական` հյուսելու համար (բամբուկ, ռոտանգ, եղեգ, ճիլ, ուռի, ռաֆիա)",կգ,1.0,0.0,0.0,0.0
2020-2021,2020,2021,1404,"Նյութեր բուսական ծագման, այլ տեղում չնշած",կգ,0.2,0.0,0.0,0.0
2020-2021,2020,2021,1502,"Ճարպ խոշոր եղջրավոր անասունի, ոչխարի կամ այծի, ոչ 1503 դիրքում նշած  ճարպ",տոննա,34.4,26.4,0.0,0.0
2020-2021,2020,2021,1509,Ձիթապտղի ձեթ,տոննա,0.0,0.0,3.2,23.4
2020-2021,2020,2021,1512,"Արեւածաղկի, քրքումի կամ բամբակի ձեթ",տոննա,6.0,10.5,20.7,28.7
2020-2021,2020,2021,1515,Այլ բուսական ճարպ եւ ձեթ (ներառյալ ժոժոբա),կգ,376.3,10.6,725.0,25.4
2020-2021,2020,2021,1516,"Կենդանական կամ բուսական ճարպ եւ յուղ, դրանց զտամասերը",կգ,306.0,0.7,396.0,0.9
2020-2021,2020,2021,1517,Մարգարին; խառնուրդ կամ պատրաստի մթերք  կենդանական կամ բուսական ճարպից կամ յուղից,կգ,20540.0,25.0,37.0,0.1
2020-2021,2020,2021,1601,Երշիկեղեն եւ նման մթերք մսից կամ արյունից,տոննա,590.5,2694.5,580.5,2965.0
2020-2021,2020,2021,1602,Այլ պատրաստի կամ պահածո մսամթերք,տոննա,289.5,1223.1,411.3,1607.8
2020-2021,2020,2021,1604,Պատրաստի կամ պահած. ձուկ; ձկնկիթ կամ խավիարի փոխարինիչ,տոննա,489.0,4719.5,432.8,4186.5
2020-2021,2020,2021,1605,"Պատրաստի կամ պահածո խեցե-, կակղա-մորթ եւ այլ անողնաշարավոր",կգ,1040.0,3.3,13.0,0.0
2020-2021,2020,2021,1701,Շաքար,տոննա,109.5,78.1,194.1,145.8
2020-2021,2020,2021,1702,"Այլ շաքար (գլյուկոզա, լակտոզա); շաքարի օշարակ; արհեստական մեղր",կգ,2488.7,14.5,582.3,3.2
2020-2021,2020,2021,1704,Հրուշակեղեն պատրաստված շաքարից` առանց կակաոյի,տոննա,276.4,643.6,680.4,1574.1
2020-2021,2020,2021,1801,Հատիկավոր կակաո,կգ,0.0,0.0,36.0,0.3
2020-2021,2020,2021,1804,"Կակաո-յուղ, -ճարպ",կգ,17366.1,19.6,626.0,7.2
2020-2021,2020,2021,1805,Կակաո-փոշի,կգ,451.8,2.0,5160.1,39.9
2020-2021,2020,2021,1806,Շոկոլադ եւ այլ կակաո պարունակող սնունդ,տոննա,3564.6,13247.4,3519.5,16319.8
2020-2021,2020,2021,1901,"Ածիկային խտահյութ; սննդամթերք ալյուրից, ձավարեղենից, օսլայից, ածիկային խտահյութից,",տոննա,17.2,32.6,17.4,44.8
2020-2021,2020,2021,1902,Մակարոնեղեն,տոննա,411.2,255.6,412.1,576.4
2020-2021,2020,2021,1904,Պատրաստի սննդամթերք` հացաբույսերից,տոննա,149.7,219.1,190.5,467.8
2020-2021,2020,2021,1905,"Հաց, հրուշակեղեն ալյուրից",տոննա,491.4,1078.8,592.0,1698.5
2020-2021,2020,2021,2001,"Բանջարեղեն, մրգեր, ընկուզեղեն պաhածոյացված քացախով",տոննա,1775.8,1942.6,2142.0,2500.7
2020-2021,2020,2021,2002,Լոլիկի մածուկ,տոննա,4081.7,3697.5,5021.0,4258.6
2020-2021,2020,2021,2003,Սնկեր եւ գետնասնկեր պահածոյացված,տոննա,60.4,92.3,42.9,68.6
