period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,2008,"Այլ կերպ պահածոյացված միրգ, ընկուզեղեն, հատապտուղ",տոննա,1638.1,3180.2,2106.1,4224.5
2020-2021,2020,2021,2009,Մրգահյութեր եւ բանջարեղենի հյութեր,տոննա,5065.1,4382.4,4410.2,5046.8
2020-2021,2020,2021,2101,"Սուրճի, թեյի կամ մատեի խտահյութ, բնահյութ",տոննա,1823.1,5487.2,1497.4,6031.3
2020-2021,2020,2021,2102,Խմորիչներ; թթխմոր,տոննա,2233.7,2443.2,2346.9,2559.7
2020-2021,2020,2021,2103,Սոուս պատրաստելու մթերք եւ պատրաստի սոուս; մանանեխ,տոննա,4164.4,6174.4,5783.8,9218.9
2020-2021,2020,2021,2104,Պատրաստի սուպ եւ արգանակ եւ պատրաստուկներ դրանք պատրաստելու,տոննա,195.8,308.8,199.5,527.0
2020-2021,2020,2021,2105,Պաղպաղակ եւ սննդային սառույցի այլ տեսակ,տոննա,212.5,907.1,296.6,1438.3
2020-2021,2020,2021,2106,Սննդամթերք; այլ տեղերում չնշված,լ.100%սպ.,571.3,42.0,385.1,53.1
2020-2021,2020,2021,2106,Սննդամթերք; այլ տեղերում չնշված,տոննա,7551.6,15177.1,4004.8,17257.2
2020-2021,2020,2021,2201,"Ջրեր` բնական կամ արհեստական հանքային, գազավորած, չքաղցրացրած; սառույց եւ ձյուն",հազ.լ,474.9,345.9,561.7,389.7
2020-2021,2020,2021,2202,"Ջրեր` հանքային եւ գազավորած` քաղցրացրած, այլ ոչ ալկոհոլային խմիչք",հազ.լ,18493.1,12070.7,20565.5,14660.3
2020-2021,2020,2021,2203,Գարեջուր ածիկային,հազ.լ,6072.8,3965.1,7166.3,5232.5
2020-2021,2020,2021,2204,Գինի խաղողի` բնական,հազ.լ,715.0,1742.8,623.0,2549.9
2020-2021,2020,2021,2205,Վերմուտ եւ խաղողի այլ բնական գինի` ավելացրած բուսական կամ հոտավետ նյութեր,հազ.լ,21.0,125.4,36.5,224.6
2020-2021,2020,2021,2206,"Խմորման ենթարկված այլ ըմպելիք (խնձորի, տանձի սիդր, մեղրաըմպելիք)",հազ.լ,62.0,171.1,55.4,107.7
2020-2021,2020,2021,2207,"Էթիլային սպիրտ` չբնափոխած, >=80 ծավ.% սպիրտի խտությամբ եւ այլ սպիրտային թուրմ` բնափոխած",հազ.լ,425.6,218.3,374.9,411.5
2020-2021,2020,2021,2208,"Էթիլային սպիրտ, չբնափոխած, <80 ծավ.% սպիրտի խտությամբ; սպիրտային թուրմ, լիկյոր եւ այլ սպիրտային ըմպելիք",հազ.լ100%սպ,3458.8,16681.9,4695.5,32198.3
2020-2021,2020,2021,2209,Քացախ եւ նրա փոխարինիչ,հազ.լ,160.3,140.7,120.8,142.2
2020-2021,2020,2021,2301,Ալյուր կամ հատիկներ մսից կամ ջրային կենդանիներից; ճարպատակուցք,տոննա,6188.8,4344.2,7733.5,7136.5
2020-2021,2020,2021,2302,Հացահատիկային բույսերի կամ լոբազգիների մշակումից մնացորդ,տոննա,8246.0,827.8,4253.4,535.5
2020-2021,2020,2021,2303,"Օսլայի արտադրության մնացորդ, բազուկի, շաքարեղեգի թափոն, գարեջրա- կամ օղե- գործական տակուցք",տոննա,24.8,6.9,265.0,78.6
2020-2021,2020,2021,2304,Կոպտոն եւ այլ կոշտ թափոն` սոյայի յուղի հյութազտումից,տոննա,24511.9,10896.4,22260.1,12903.1
2020-2021,2020,2021,2306,Կոպտոն եւ այլ կոշտ թափոն`այլ բուսա -ճարպերի կամ -յուղերի հյութազտումից,տոննա,17183.5,4382.4,16641.0,5337.1
2020-2021,2020,2021,2308,"Բուսական ծագման այլ մթերք եւ թափոն - անասնակեր, այլ տեղում չնշած",կգ,15.7,0.1,350.0,0.1
2020-2021,2020,2021,2309,Կենդանիների կեր,տոննա,29215.2,30023.5,32513.8,32475.5
2020-2021,2020,2021,2401,Ծխախոտի հումք; թափոններ,տոննա,19446.4,73914.1,10207.3,39881.2
2020-2021,2020,2021,2402,"Սիգար, սիգարիլլա, սիգարետ",մլն հատ,2638.3,39797.6,2221.1,33988.6
2020-2021,2020,2021,2403,Ծխախոտի այլ պատրաստուկ  եւ փոխարինիչ; խտահյութ,տոննա,297.3,13598.0,708.1,14836.6
2020-2021,2020,2021,2501,Աղ եւ նատրիումի քլորիդ; ծովի ջուր,տոննա,12634.6,1505.4,14559.9,1669.6
2020-2021,2020,2021,2503,"Ծծումբ, ոչ սուբլիմացված, նստվածքային կամ կոլոիդական",տոննա,118.4,32.8,28.0,9.8
2020-2021,2020,2021,2504,Բնական գրաֆիտ,տոննա,5.8,7.8,17.8,8.7
2020-2021,2020,2021,2505,"Ավազ, ոչ 26 խմբի մետաղաբեր ավազ",տոննա,40358.3,1758.7,52487.3,2656.5
2020-2021,2020,2021,2506,Կվարց (բացի բնական ավազը); կվարցիտ,կգ,213.2,1.2,170.0,12.4
2020-2021,2020,2021,2507,Ճենակավ,տոննա,22.4,15.6,25.3,22.9
2020-2021,2020,2021,2508,"Կավեր այլ (բացի 6806 դիրքի փքուն կավեր), անդալուզիտ, կիանիտ, սիլիմանիտ; մուլիտ; հողեր",տոննա,160.8,54.3,233.2,81.3
2020-2021,2020,2021,2509,Կավիճ,տոննա,11631.9,1213.3,11574.3,1229.6
2020-2021,2020,2021,2511,"Բարիումի սուլֆատ, կարբոնատ, բացի 2816 դիրքի",տոննա,20.0,7.0,6.5,2.4
2020-2021,2020,2021,2512,Հողեր ինֆուզորային սիլիկային,տոննա,201.8,98.4,224.6,64.2
