"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"17 materials - 142 669 812 AMD","19 cases- 9 125 085 AMD","14 cases - 6 437 282 AMD","-","0 cases - 0 AMD"
"August 2013","","","",""
"4 materials - 18 016 099 AMD","4 cases- 383 024 AMD","3 cases - 241 076 AMD","-","0 cases - 0 AMD"
"July 2013","","","",""
"5 materials -14 722 658 AMD","11 cases- 561 228 753 AMD","10 cases - 10 371 895 AMD","-","4 cases - 119 031 847 AMD"
"June 2013","","","",""
"4 materials - 61 426 395 AMD","9 cases- 4 171 188 AMD","5 cases - 553 103 AMD","-","4 cases - 17 882 477 AMD"
"May 2013","","","",""
"3 materials - 6 242 919 AMD","10 cases- 1 636 071 AMD","9 cases - 1 544 046 AMD","-","2 cases - 2 149 295 AMD"
"April 2013","","","",""
"9 materials - 8 670 501 AMD","13 cases- 6 975 477 AMD","11 cases - 962 597 AMD","-","1 cases - 873 426 AMD"
"March 2013","","","",""
"3 materials - 8 669 347 AMD","13 cases- 9 350 209 AMD","9 cases - 7 565 849 AMD","-","4 cases - 5 291 648 AMD"
"February 2013","","","",""
"4 materials - 41 792 272 AMD","8 cases- 1 193 093 AMD","7 cases - 882 638 AMD","-","2 cases - 8 828 144 AMD"
"January 2013","","","",""
"9 materials - 71 491 656 AMD","15 cases- 4 782 548 AMD","10 cases - 3 015 667 AMD","-","5 cases - 34 319 593 AMD"
"December2012","","","",""
"1 materials - 0 AMD","3 cases- 1 111 270 AMD","2 cases - 1 014 510 AMD","-","1 cases - 28 125 171 AMD"
"November 2012","","","",""
"5 materials - 53 202 066 AMD","10 cases- 10 058 189 AMD","6 cases - 5 228 587 AMD","-","0 cases - 0 AMD"
"October 2012","","","",""
"2 materials - 25 462 946 AMD","13 cases- 8 487 677 AMD","12 cases - 8 102 827 AMD","-","1 cases - 4 392 006 AMD"
"September 2012","","","",""
"3 materials - 1 960 000 AMD","11 cases- 18 860 980 AMD","9 cases - 14 834 617 AMD","-","3 cases - 31 212 798 AMD"
"August 2012","","","",""
"2 materials - 1 140 150 AMD","21 cases- 11 841 820 AMD","14 cases - 4 714 426 AMD","-","3 cases - 5 110 315 AMD"
"July 2012","","","",""
"4 materials - 14 344 404 AMD","6 cases- 6 509 777 AMD","4 cases - 4 178 556 AMD","-","5 cases - 4 974 695 AMD"
"June 2012","","","",""
"1 materials - 54 042 073 AMD","7 cases- 22 680 091 AMD","3 cases - 607 060 AMD","-","4 cases - 16 048 051 AMD"
"May 2012","","","",""
"5materials  52707 560 AMD","4cases- 5784457 AMD","4cases - 5 784 457 AMD","-","4 cases - 114 939 100 AMD"
"April 2012","","","",""
"3 materials - 4 922 015 AMD","1 cases- 5 913 011 AMD","-","1 cases - 5 913 011 AMD","6 cases - 3 202 707 AMD"
"March 2012","","","",""
"1 materials - 1 547 000 AMD","9 cases- 11 680 830 AMD","9 cases - 11 680 830 AMD","-","11 cases – 7 340 755 AMD"
"February 2012","","","",""
"4 materials - 22 452 246 AMD","11 cases- 44 659 264 AMD","8 cases - 8 360 325 AMD","3 cases - 36298939 AMD","7 cases - 55 402 925 AMD"
"January 2012","","","",""
"10 materials - 57 913 362 AMD","11 cases - 106 721 676 AMD","2 - cases 10 164 416 AMD","9 cases - 96 557 260 AMD","12 cases - 19 671 043 AMD"
